customerID,Contract,PaperlessBilling,PaymentMethod
2070-FNEXE,Month-to-month,No,Bank transfer (automatic)
5947-SGKCL,Month-to-month,Yes,Bank transfer (automatic)
3712-PKXZA,One year,Yes,Credit card (automatic)
6317-YPKDH,Month-to-month,No,Bank transfer (automatic)
6582-OIVSP,Month-to-month,No,Mailed check
9367-WXLCH,Month-to-month,No,Bank transfer (automatic)
5524-KHNJP,One year,No,Credit card (automatic)
1918-ZBFQJ,Month-to-month,Yes,Electronic check
1024-GUALD,Month-to-month,Yes,Electronic check
4827-USJHP,Month-to-month,Yes,Mailed check
8167-GJLRN,Month-to-month,No,Electronic check
0956-SYCWG,One year,No,Electronic check
8017-UVSZU,Month-to-month,No,Credit card (automatic)
7100-FQPRV,One year,Yes,Credit card (automatic)
2472-OVKUP,Month-to-month,Yes,Electronic check
2984-RGEYA,Two year,No,Bank transfer (automatic)
9680-NIAUV,Two year,No,Credit card (automatic)
2146-EGVDT,Two year,No,Credit card (automatic)
2604-IJPDU,Month-to-month,Yes,Electronic check
9178-JHUVJ,Two year,Yes,Bank transfer (automatic)
6168-YBYNP,Month-to-month,Yes,Electronic check
7255-SSFBC,Two year,Yes,Bank transfer (automatic)
3645-DEYGF,Month-to-month,No,Mailed check
9323-HGFWY,One year,Yes,Credit card (automatic)
8544-GOQSH,Month-to-month,Yes,Credit card (automatic)
3363-DTIVD,Two year,No,Electronic check
7018-WBJNK,Month-to-month,Yes,Credit card (automatic)
9142-KZXOP,Month-to-month,No,Credit card (automatic)
7674-YTAFD,One year,Yes,Bank transfer (automatic)
6348-SNFUS,Two year,Yes,Credit card (automatic)
1285-OKIPP,Month-to-month,No,Electronic check
7825-ECJRF,Month-to-month,Yes,Electronic check
1347-KTTTA,One year,Yes,Credit card (automatic)
7841-TZDMQ,Month-to-month,Yes,Credit card (automatic)
4195-NZGTA,Month-to-month,No,Electronic check
7157-SMCFK,Two year,No,Mailed check
4709-LKHYG,One year,No,Electronic check
2504-DSHIH,Month-to-month,No,Electronic check
0699-NDKJM,Month-to-month,Yes,Bank transfer (automatic)
9286-BHDQG,Two year,No,Credit card (automatic)
0230-WEQUW,Two year,Yes,Bank transfer (automatic)
2040-LDIWQ,Two year,Yes,Bank transfer (automatic)
6496-JDSSB,Month-to-month,Yes,Bank transfer (automatic)
9408-SSNVZ,Month-to-month,Yes,Electronic check
4443-EMBNA,Two year,No,Bank transfer (automatic)
6469-MRVET,One year,Yes,Electronic check
0742-MOABM,Month-to-month,No,Mailed check
5961-VUSRV,One year,Yes,Bank transfer (automatic)
6778-JFCMK,One year,Yes,Mailed check
6341-JVQGF,One year,Yes,Mailed check
2232-DMLXU,Month-to-month,No,Mailed check
4811-JBUVU,Month-to-month,Yes,Credit card (automatic)
0945-TSONX,Two year,Yes,Credit card (automatic)
2651-ZCBXV,Two year,Yes,Credit card (automatic)
3316-UWXUY,Month-to-month,Yes,Credit card (automatic)
8937-RDTHP,Month-to-month,Yes,Mailed check
7083-MIOPC,Two year,No,Credit card (automatic)
1984-GPTEH,Month-to-month,No,Electronic check
1251-KRREG,Month-to-month,Yes,Mailed check
0621-JFHOL,Two year,Yes,Mailed check
9903-LYSAB,Month-to-month,Yes,Electronic check
0094-OIFMO,Month-to-month,Yes,Electronic check
9227-UAQFT,Two year,No,Mailed check
7301-ABVAD,Two year,No,Bank transfer (automatic)
6614-FHDBO,Two year,No,Bank transfer (automatic)
7576-ASEJU,One year,Yes,Credit card (automatic)
9058-HRZSV,Month-to-month,No,Electronic check
4522-AKYLR,Month-to-month,Yes,Electronic check
0221-WMXNQ,Month-to-month,No,Electronic check
0303-UNCIP,One year,No,Mailed check
9947-OTFQU,Month-to-month,Yes,Electronic check
0322-YINQP,Month-to-month,Yes,Mailed check
0959-WHOKV,One year,Yes,Electronic check
4075-JFPGR,One year,Yes,Electronic check
4629-NRXKX,Month-to-month,No,Electronic check
9514-JDSKI,Month-to-month,No,Electronic check
3282-ZISZV,One year,No,Credit card (automatic)
3675-YDUPJ,Month-to-month,Yes,Mailed check
4111-BNXIF,Two year,Yes,Electronic check
7017-VFHAY,Two year,No,Credit card (automatic)
6655-LHBYW,One year,No,Credit card (automatic)
4959-JOSRX,Month-to-month,Yes,Credit card (automatic)
5046-NUHWD,Month-to-month,Yes,Electronic check
7273-TEFQD,Month-to-month,Yes,Electronic check
3606-TWKGI,Month-to-month,Yes,Electronic check
7529-ZDFXI,Month-to-month,Yes,Electronic check
7605-BDWDC,Two year,Yes,Bank transfer (automatic)
1950-KSVVJ,One year,No,Mailed check
0123-CRBRT,Two year,No,Mailed check
6292-TOSSS,Two year,No,Bank transfer (automatic)
3197-ARFOY,Month-to-month,Yes,Mailed check
6323-AYBRX,Two year,No,Mailed check
7014-ZZXAW,Two year,Yes,Credit card (automatic)
4385-GZQXV,Month-to-month,Yes,Electronic check
7633-MVPUY,Two year,Yes,Electronic check
6366-ZGQGL,Month-to-month,No,Bank transfer (automatic)
4716-HHKQH,Month-to-month,No,Electronic check
5940-AHUHD,Month-to-month,No,Mailed check
6432-TWQLB,Month-to-month,Yes,Electronic check
4484-GLZOU,Month-to-month,Yes,Electronic check
3179-GBRWV,Month-to-month,Yes,Bank transfer (automatic)
8645-KWHJO,Month-to-month,Yes,Electronic check
4130-MZLCC,Month-to-month,No,Bank transfer (automatic)
0314-TKOSI,Month-to-month,No,Mailed check
8229-MYEJZ,Month-to-month,No,Electronic check
2080-SRCDE,Month-to-month,No,Mailed check
9577-WJVCQ,Month-to-month,No,Mailed check
9512-UIBFX,Month-to-month,No,Mailed check
6202-DYYFX,One year,Yes,Credit card (automatic)
3808-HFKDE,Month-to-month,Yes,Electronic check
5583-SXDAG,Month-to-month,No,Electronic check
3488-PGMQJ,Month-to-month,Yes,Electronic check
3580-REOAC,Month-to-month,Yes,Credit card (automatic)
7534-BFESC,Month-to-month,Yes,Electronic check
3727-OWVYD,One year,No,Mailed check
2294-SALNE,One year,No,Mailed check
4847-TAJYI,Month-to-month,Yes,Electronic check
1563-IWQEX,Month-to-month,No,Mailed check
8203-XJZRC,Month-to-month,No,Mailed check
6556-DBKZF,Two year,No,Electronic check
6851-WEFYX,Month-to-month,Yes,Electronic check
2985-JUUBZ,Month-to-month,Yes,Electronic check
6390-DSAZX,Month-to-month,Yes,Mailed check
0895-LMRSF,One year,Yes,Bank transfer (automatic)
8098-LLAZX,Month-to-month,Yes,Electronic check
8266-VBFQL,Month-to-month,Yes,Electronic check
8181-YHCMF,Two year,No,Credit card (automatic)
2240-HSJQD,Month-to-month,Yes,Mailed check
1248-DYXUB,Two year,No,Mailed check
0265-EDXBD,Month-to-month,Yes,Electronic check
4115-BNPJY,Two year,No,Mailed check
3167-SNQPL,Month-to-month,No,Electronic check
4091-TVOCN,One year,Yes,Credit card (automatic)
1098-TDVUQ,Month-to-month,Yes,Bank transfer (automatic)
7277-OZCGZ,Month-to-month,Yes,Electronic check
1557-EMYVT,Two year,No,Credit card (automatic)
2799-ARNLO,Month-to-month,Yes,Electronic check
7563-BIUPC,Month-to-month,Yes,Electronic check
5027-YOCXN,One year,No,Credit card (automatic)
3973-SKMLN,Two year,Yes,Credit card (automatic)
2321-OMBXY,One year,No,Credit card (automatic)
2840-XANRC,Month-to-month,Yes,Electronic check
6745-JEFZB,Month-to-month,Yes,Credit card (automatic)
5020-ZSTTY,One year,No,Bank transfer (automatic)
9880-TDQAC,Two year,Yes,Electronic check
8705-WZCYL,Month-to-month,Yes,Electronic check
7102-JJVTX,One year,No,Mailed check
8626-PTQGE,Two year,Yes,Bank transfer (automatic)
4983-CLMLV,Month-to-month,Yes,Credit card (automatic)
5701-YVSVF,Month-to-month,Yes,Electronic check
5804-LEPIM,Month-to-month,Yes,Electronic check
5697-GOMBF,Month-to-month,Yes,Electronic check
2739-CACDQ,Month-to-month,Yes,Credit card (automatic)
9385-EHGDO,Two year,Yes,Mailed check
9498-FIMXL,One year,Yes,Mailed check
2379-GYFLQ,One year,Yes,Credit card (automatic)
0122-OAHPZ,Month-to-month,Yes,Electronic check
2868-SNELZ,Month-to-month,No,Mailed check
4322-RCYMT,One year,Yes,Bank transfer (automatic)
6680-NENYN,Two year,Yes,Electronic check
2088-IEBAU,Two year,Yes,Electronic check
7982-VCELR,Month-to-month,Yes,Credit card (automatic)
1343-EHPYB,Month-to-month,Yes,Electronic check
6035-BXTTY,Month-to-month,No,Bank transfer (automatic)
6885-PKOAM,Two year,No,Credit card (automatic)
7520-HQWJU,Month-to-month,Yes,Bank transfer (automatic)
9639-BUJXT,One year,No,Mailed check
5924-SNGKP,One year,Yes,Credit card (automatic)
0021-IKXGC,Month-to-month,Yes,Electronic check
2034-GDRCN,Month-to-month,Yes,Electronic check
8966-SNIZF,Two year,No,Bank transfer (automatic)
6243-OZGFH,Month-to-month,Yes,Electronic check
4654-DLAMQ,One year,No,Bank transfer (automatic)
0513-RBGPE,Two year,Yes,Credit card (automatic)
5160-UXJED,One year,No,Mailed check
4115-NZRKS,Month-to-month,Yes,Electronic check
0219-YTZUE,Month-to-month,Yes,Bank transfer (automatic)
0623-IIHUG,Month-to-month,Yes,Electronic check
4572-DVCGN,Month-to-month,Yes,Bank transfer (automatic)
3351-NGXYI,Month-to-month,Yes,Electronic check
8984-EYLLL,Two year,Yes,Electronic check
9057-MSWCO,Month-to-month,No,Credit card (automatic)
9833-TGFHX,One year,No,Electronic check
9294-TDIPC,Month-to-month,No,Mailed check
5229-DTFYB,Two year,Yes,Bank transfer (automatic)
0104-PPXDV,One year,No,Credit card (automatic)
5176-LMJXE,Two year,Yes,Mailed check
3583-KRKMD,Month-to-month,Yes,Bank transfer (automatic)
1010-DIAUQ,Month-to-month,No,Bank transfer (automatic)
9069-LGEUL,Month-to-month,Yes,Bank transfer (automatic)
7302-ZHMHP,Month-to-month,No,Mailed check
9571-EDEBV,One year,Yes,Credit card (automatic)
3520-FJGCV,Two year,Yes,Credit card (automatic)
6563-VRERX,One year,No,Mailed check
0259-GBZSH,Month-to-month,Yes,Electronic check
6122-EFVKN,Two year,No,Mailed check
2805-EDJPQ,One year,Yes,Credit card (automatic)
6862-CQUMB,Month-to-month,Yes,Credit card (automatic)
7156-MXBJE,One year,No,Credit card (automatic)
6158-HDPXZ,Month-to-month,No,Mailed check
9601-BRXPO,Month-to-month,Yes,Bank transfer (automatic)
2863-IMQDR,Two year,No,Electronic check
5686-CMAWK,One year,No,Electronic check
5651-CRHKQ,One year,Yes,Bank transfer (automatic)
6905-NIQIN,Month-to-month,No,Mailed check
8204-YJCLA,Two year,Yes,Bank transfer (automatic)
5167-ZFFMM,Month-to-month,Yes,Credit card (automatic)
6583-SZVGP,Two year,Yes,Bank transfer (automatic)
4895-TMWIR,Month-to-month,No,Mailed check
0533-BNWKF,Month-to-month,Yes,Electronic check
1708-PBBOA,One year,Yes,Electronic check
8782-LKFPK,Month-to-month,Yes,Mailed check
5522-JBWMO,Month-to-month,No,Electronic check
3597-MVHJT,Month-to-month,Yes,Bank transfer (automatic)
9774-NRNAU,Month-to-month,Yes,Bank transfer (automatic)
0224-RLWWD,Month-to-month,Yes,Electronic check
9967-ATRFS,Month-to-month,No,Mailed check
3951-NJCVI,Month-to-month,Yes,Electronic check
2977-CEBSX,Two year,Yes,Credit card (automatic)
0177-PXBAT,Month-to-month,Yes,Bank transfer (automatic)
6599-CEBNN,Month-to-month,Yes,Credit card (automatic)
2519-ERQOJ,Month-to-month,Yes,Electronic check
5876-QMYLD,One year,No,Mailed check
2277-AXSDC,One year,No,Bank transfer (automatic)
9442-JTWDL,One year,No,Credit card (automatic)
0979-PHULV,Month-to-month,Yes,Credit card (automatic)
3067-SVMTC,One year,No,Bank transfer (automatic)
5495-GPSRW,Two year,Yes,Mailed check
7606-BPHHN,Two year,Yes,Credit card (automatic)
4742-DRORA,One year,Yes,Bank transfer (automatic)
0111-KLBQG,Month-to-month,Yes,Mailed check
4800-VHZKI,Month-to-month,Yes,Mailed check
7989-CHGTL,Month-to-month,Yes,Mailed check
0334-GDDSO,Month-to-month,Yes,Electronic check
4163-NCJAK,One year,Yes,Bank transfer (automatic)
5233-AOZUF,Month-to-month,Yes,Electronic check
5973-EJGDP,Month-to-month,Yes,Electronic check
1996-DBMUS,Month-to-month,Yes,Bank transfer (automatic)
7916-VCCPB,Month-to-month,No,Bank transfer (automatic)
4686-GEFRM,Two year,Yes,Bank transfer (automatic)
5249-QYHEX,Two year,Yes,Mailed check
0578-SKVMF,Month-to-month,No,Electronic check
5564-NEMQO,Month-to-month,Yes,Bank transfer (automatic)
2233-FAGXV,Month-to-month,Yes,Mailed check
5605-IYGFG,Month-to-month,Yes,Bank transfer (automatic)
7663-ZTEGJ,One year,No,Credit card (automatic)
3935-TBRZZ,One year,No,Mailed check
8111-BKVDS,Month-to-month,No,Bank transfer (automatic)
2055-SIFSS,Month-to-month,No,Bank transfer (automatic)
2806-MLNTI,One year,Yes,Bank transfer (automatic)
8734-DKSTZ,Month-to-month,No,Electronic check
4360-PNRQB,Month-to-month,Yes,Bank transfer (automatic)
6152-ONASV,One year,No,Bank transfer (automatic)
9063-ZGTUY,Month-to-month,Yes,Mailed check
7781-HVGMK,Two year,Yes,Credit card (automatic)
2181-UAESM,Month-to-month,No,Electronic check
2957-LOLHO,Month-to-month,Yes,Bank transfer (automatic)
6048-NJXHX,Two year,Yes,Electronic check
2320-SLKMB,Month-to-month,Yes,Credit card (automatic)
4980-URKXC,One year,No,Bank transfer (automatic)
4376-KFVRS,Two year,Yes,Credit card (automatic)
5886-VLQVU,Month-to-month,Yes,Bank transfer (automatic)
3577-AMVUX,Month-to-month,No,Mailed check
0771-WLCLA,Month-to-month,Yes,Electronic check
5628-RKIFK,Month-to-month,No,Credit card (automatic)
0206-TBWLC,One year,Yes,Mailed check
2937-FTHUR,Month-to-month,No,Electronic check
1910-FMXJM,Month-to-month,No,Electronic check
7752-XUSCI,Month-to-month,Yes,Electronic check
4110-PFEUZ,Month-to-month,No,Mailed check
0732-OCQOC,Two year,Yes,Bank transfer (automatic)
5168-MSWXT,Month-to-month,Yes,Electronic check
1090-ESELR,Two year,No,Bank transfer (automatic)
8592-PLTMQ,One year,No,Mailed check
5760-WRAHC,Month-to-month,Yes,Mailed check
8847-GEOOQ,Month-to-month,Yes,Bank transfer (automatic)
0256-LTHVJ,Month-to-month,Yes,Electronic check
4785-FCIFB,Two year,No,Mailed check
8313-NDOIA,Month-to-month,Yes,Electronic check
5149-CUZUJ,One year,No,Bank transfer (automatic)
0942-KOWSM,Two year,No,Bank transfer (automatic)
4237-CLSMM,Month-to-month,No,Mailed check
1452-VOQCH,Month-to-month,Yes,Electronic check
4719-UMSIY,Month-to-month,No,Mailed check
6614-VBEGU,Month-to-month,Yes,Bank transfer (automatic)
0880-TKATG,Month-to-month,No,Electronic check
3811-VBYBZ,Month-to-month,Yes,Electronic check
1480-BKXGA,Two year,Yes,Bank transfer (automatic)
2996-XAUVF,Two year,Yes,Mailed check
9076-AXYIK,Two year,No,Electronic check
5968-XQIVE,One year,Yes,Electronic check
8896-RAZCR,Two year,No,Mailed check
4640-UHDOS,Month-to-month,No,Electronic check
4933-IKULF,One year,No,Mailed check
3583-EKAPL,Month-to-month,Yes,Electronic check
1304-BCCFO,Month-to-month,Yes,Mailed check
4104-PVRPS,Month-to-month,No,Mailed check
9399-APLBT,Month-to-month,Yes,Electronic check
2359-KMGLI,Month-to-month,Yes,Electronic check
3780-DDGSE,Month-to-month,Yes,Electronic check
4431-EDMIQ,Month-to-month,Yes,Electronic check
0306-JAELE,Month-to-month,Yes,Electronic check
6227-HWPWX,Month-to-month,No,Bank transfer (automatic)
0486-LGCCH,Two year,No,Mailed check
0447-BEMNG,Month-to-month,Yes,Bank transfer (automatic)
4612-SSVHJ,Month-to-month,Yes,Electronic check
5168-MQQCA,One year,Yes,Bank transfer (automatic)
5949-XIKAE,Month-to-month,Yes,Electronic check
7971-HLVXI,Two year,Yes,Credit card (automatic)
9094-AZPHK,Month-to-month,Yes,Electronic check
3649-JPUGY,Two year,Yes,Bank transfer (automatic)
8372-JUXUI,Month-to-month,Yes,Electronic check
3552-CTCYF,Two year,Yes,Bank transfer (automatic)
6778-YSNIH,Month-to-month,Yes,Electronic check
0388-EOPEX,Month-to-month,Yes,Electronic check
5756-OZRIO,One year,No,Bank transfer (automatic)
6579-JPICP,Month-to-month,No,Mailed check
8205-OTCHB,One year,Yes,Bank transfer (automatic)
4134-BSXLX,Month-to-month,No,Mailed check
0505-SPOOW,Two year,No,Bank transfer (automatic)
6235-VDHOM,Month-to-month,No,Electronic check
7783-YKGDV,Month-to-month,Yes,Bank transfer (automatic)
4374-YMUSQ,One year,No,Credit card (automatic)
4513-CXYIX,Two year,Yes,Credit card (automatic)
3957-HHLMR,One year,No,Bank transfer (automatic)
7803-XOCCZ,Month-to-month,Yes,Bank transfer (automatic)
5736-YEJAX,Two year,Yes,Credit card (automatic)
5609-CEBID,Month-to-month,Yes,Electronic check
8981-FJGLA,Month-to-month,Yes,Mailed check
7218-HKQFK,Month-to-month,Yes,Electronic check
4636-QRJKY,Month-to-month,Yes,Electronic check
1135-LMECX,Month-to-month,No,Mailed check
4332-MUOEZ,One year,No,Credit card (automatic)
8535-SFUTN,Month-to-month,Yes,Electronic check
5956-VKDTT,Month-to-month,Yes,Electronic check
8677-HDZEE,Month-to-month,Yes,Bank transfer (automatic)
2475-MROZF,Month-to-month,Yes,Credit card (automatic)
9412-GHEEC,Month-to-month,No,Bank transfer (automatic)
3482-ABPKK,One year,No,Mailed check
6705-LXORM,Month-to-month,No,Electronic check
0257-ZESQC,Month-to-month,Yes,Bank transfer (automatic)
7531-GQHME,Month-to-month,No,Credit card (automatic)
5174-ITUMV,One year,Yes,Electronic check
4109-CYRBD,Month-to-month,Yes,Electronic check
0913-XWSCN,Month-to-month,No,Bank transfer (automatic)
6825-UYPFK,Month-to-month,No,Bank transfer (automatic)
8397-MVTAZ,Month-to-month,Yes,Electronic check
0750-EBAIU,One year,No,Electronic check
8606-CIQUL,Two year,Yes,Credit card (automatic)
3571-DPYUH,One year,Yes,Credit card (automatic)
7601-GNDYK,Two year,No,Mailed check
0356-OBMAC,Two year,Yes,Bank transfer (automatic)
8067-NIOYM,Two year,Yes,Credit card (automatic)
1403-GYAFU,Two year,No,Credit card (automatic)
4234-XTNEA,Month-to-month,Yes,Electronic check
1297-VQDRP,One year,Yes,Credit card (automatic)
9282-IZGQK,Month-to-month,Yes,Electronic check
5348-CAGXB,Month-to-month,Yes,Electronic check
0621-HJWXJ,Month-to-month,Yes,Bank transfer (automatic)
